Nombre;Frecuencia
HAFIDA;4150 
DINA;4127 
ZAHRA;4117 
MARIA EMILIA;4109 
ADA;4102 
EMILIANA;4077 
EVELYN;4076 
SAIOA;4076 
IVET;4070 
ICIAR;4058 
NAJAT;4043 
BALBINA;4039 
MARIA FE;4011 
MARIA MARGARITA;4001 
ELISA ISABEL;3997 
ANA CARMEN;3980 
FRANCISCA MARIA;3978 
MARIA CELIA;3972 
NINA;3962 
IZARO;3929 
SIHAM;3921 
LUCIANA;3914 
CLARA ISABEL;3895 
GUILLERMINA;3886 
GRACIELA;3877 
OIHANE;3874 
LORETO;3865 
SABELA;3856 
JACQUELINE;3838 
LUISA FERNANDA;3805 
HAYAT;3791 
ZAIDA;3788 
NAIRA;3759 
SIRA;3738 
ILUMINADA;3709 
BRUNA;3704 
ZOHRA;3690 
MARIA GABRIELA;3685 
IRUNE;3677 
MARIA SANDRA;3671 
KAREN;3655 
FELICIANA;3640 
SALUD;3620 
NOUR;3597 
MAIA;3591 
IMAN;3590 
MARIA VANESA;3583 
FELICITAS;3581 
IRYNA;3579 
MARIA SUSANA;3546 
JAMILA;3545 
MARIA CECILIA;3538 
MARIA FELISA;3517 
PASTORA;3510 
BIANCA;3506 
IGNACIA;3503 
LEILA;3494 
OLIVA;3493 
OLAYA;3485 
DAMARIS;3478 
EUSEBIA;3478 
DESIRE;3476 
FATNA;3464 
LUZ;3464 
PAZ;3452 
JARA;3444 
INOCENCIA;3440 
CLARA MARIA;3435 
MINA;3432 
HALIMA;3431 
BIBIANA;3430 
MARIA ADELA;3430 
MARIA ESTER;3420 
PRESENTACION;3404 
HANAN;3396 
JANIRE;3393 
MARIA EULALIA;3382 
ENGRACIA;3375 
ABIGAIL;3372 
MARYAM;3372 
CYNTHIA;3367 
MAYA;3365 
SACRAMENTO;3365 
VICTORINA;3353 
HENAR;3340 
NICOLASA;3319 
MARIA LORENA;3292 
OKSANA;3290 
MARIA VIRGINIA;3288 
DUNIA;3266 
DANIELLA;3265 
INDIA;3255 
FAUSTINA;3253 
MARAVILLAS;3253 
FATIMA ZOHRA;3249 
YESICA;3249 
MICHELLE;3248 
MELISSA;3244 
HIBA;3233 
SERAFINA;3229 
MADDI;3220 
AITZIBER;3219 
SVETLANA;3219 
DULCE MARIA;3218 
FERMINA;3202 
ELISENDA;3201 
GARAZI;3189 
MELANIE;3182 
GRETA;3180 
CELESTINA;3173 
ANNE;3172 
CARMELA;3150 
MELISA;3148 
MARIA ANGELICA;3147 
MARIA CLARA;3142 
ROSA ISABEL;3128 
NEKANE;3127 
MARIA ESTELA;3110 
NAOMI;3107 
SATURNINA;3100 
ENARA;3098 
OLENA;3079 
SIMONA;3076 
OLALLA;3074 
JONE;3067 
YURENA;3060 
CASILDA;3058 
PAMELA;3054 
KARINA;3049 
BRENDA;3037 
ANA LUCIA;3031 
BLANCA MARIA;3030 
TERESA MARIA;3022 
CONCEPCIO;3007 
SUSANA MARIA;2994 
MALENA;2971 
NICOLETA;2965 
ALICIA MARIA;2959 
RAHMA;2958 
LOUBNA;2954 
MARIA CAMINO;2953 
ANA TERESA;2950 
MARIELA;2906 
DIANA MARIA;2903 
MARIA AGUSTINA;2902 
ELISA MARIA;2900 
BELINDA;2899 
MARIA GEMMA;2894 
MARIA AMOR;2893 
IRAIA;2883 
MARIA PAULA;2878 
MIRANDA;2876 
FARAH;2875 
PASCUALA;2873 
MARIYA;2849 
MARIA OLIVA;2846 
ARANCHA;2843 
MENCIA;2830 
JERONIMA;2828 
OLAIA;2828 
BASILISA;2815 
BENEDICTA;2813 
OFELIA;2810 
ZINEB;2810 
SONSOLES;2806 
AZIZA;2805 
NATALIYA;2794 
MARIA CATALINA;2790 
IOANA;2783 
ILHAM;2780 
CATERINA;2772 
CLEMENTINA;2768 
PAULA ANDREA;2768 
NELIDA;2764 
CELSA;2763 
ESTHER MARIA;2748 
MARIA LEONOR;2745 
SVITLANA;2731 
SAMANTHA;2730 
QUERALT;2725 
ALAZNE;2718 
CARMEN DOLORES;2715 
HABIBA;2711 
NANCY;2710 
RAQUEL MARIA;2709 
ANA LUISA;2705 
ANA VICTORIA;2701 
YESSICA;2683 
ARANTZA;2668 
MARIA LORETO;2664 
MARIA VIRTUDES;2658 
MARIA SALOME;2639 
MARIA IRENE;2635 
ARANTZAZU;2632 
MARIA AMELIA;2632 
IDAIRA;2626 
RITA MARIA;2624 
GINA;2622 
MARIA LLANOS;2622 
KAOUTAR;2617 
PAOLA ANDREA;2616 
MERIEM;2607 
MARIA O;2602 
CARMEN DELIA;2598 
MARIA ADORACION;2598 
EKATERINA;2596 
PATRICIA MARIA;2594 
MARIA VISITACION;2587 
ASMAE;2561 
ANA PILAR;2554 
BERNARDA;2551 
SANAE;2544 
NOURA;2543 
ENCARNACIO;2540 
DAFNE;2537 
FLORINDA;2523 
LUCRECIA;2514 
ELOINA;2506 
ANUNCIACION;2503 
SELENE;2500 
YLENIA;2496 
INDIRA;2494 
PRISCILA;2485 
SANDRA MILENA;2472 
MARIA COVADONGA;2470 
MARIA FUENSANTA;2470 
MARIA CELESTE;2469 
MARIA FLOR;2466 
MARIA SIERRA;2453 
MARIA CAROLINA;2446 
DIANA CAROLINA;2437 
YOUSRA;2435 
MARIA SANTOS;2433 
RANIA;2424 
VICTORIANA;2424 
KATIA;2423 
DARIA;2403 
LOREA;2403 
DOLORES MARIA;2399 
MARIA MONSERRAT;2397 
MARIA VANESSA;2389 
AISHA;2387 
SELENA;2378 
MARIA ALBA;2371 
ROSARIO MARIA;2369 
YAMINA;2365 
ISOLINA;2357 
CRISTOBALINA;2353 
ZURIÑE;2344 
LIBERTAD;2343 
MARIA VERONICA;2322 
YASMINE;2322 
LUA;2319 
MARIAN;2319 
MERYEM;2317 
SAADIA;2312 
MARIA CARIDAD;2304 
CLAUDIA PATRICIA;2299 
MARIA ANA;2296 
ANTONELLA;2294 
LUCIA MARIA;2292 
ANA PAULA;2286 
HOUDA;2283 
YARA;2283 
ARIANNA;2282 
CELESTE;2282 
MARIA RITA;2273 
ROXANA;2270 
MILAGROSA;2268 
DALIA;2267 
DAYANA;2254 
CHAIMAE;2252 
LUCILA;2252 
OLIMPIA;2249 
JUSTINA;2248 
MAXIMA;2243 
MARIA HENAR;2237 
PRIMITIVA;2231 
EDELMIRA;2222 
ITXASO;2218 
LIDIA MARIA;2218 
MARIA MATILDE;2218 
ALAIA;2217 
MALEN;2217 
FELICIA;2207 
ALESSANDRA;2206 
GIULIA;2202 
ROMINA;2198 
ANGELITA;2191 
BASILIA;2190 
MARISA;2183 
MAXIMINA;2183 
ELADIA;2181 
NURIA MARIA;2181 
CARMEN PILAR;2180 
FIDELA;2174 
RABIA;2174 
ELIANA;2166 
DANA;2163 
IRMA;2156 
THALIA;2155 
LUZ DIVINA;2152 
MARIA NOELIA;2146 
MARIA CAMILA;2144 
SOUKAINA;2139 
ANA BEATRIZ;2136 
MARLENE;2134 
ADARA;2129 
VIORICA;2125 
MARIA LLUISA;2124 
MIRELLA;2123 
MAYRA;2121 
MARIA NEUS;2119 
MARIOLA;2112 
ASTRID;2110 
MIGUELA;2105 
ANGELICA MARIA;2099 
GLADYS;2095 
APOLONIA;2091 
DEBORAH;2088 
FLOR MARIA;2085 
OIHANA;2083 
JANET;2082 
ZORAIDA;2082 
LEA;2075 
HAKIMA;2073 
KARLA;2069 
IMMACULADA;2067 
ANGELS;2065 
ISIDRA;2065 
MARIA SORAYA;2063 
MONICA MARIA;2060 
TETYANA;2058 
IVANA;2056 
ANITA;2055 
BERNARDINA;2055 
MARIA SONSOLES;2045 
