Apellido;Frecuencia apellido 1
DIEGO;7683
TALAVERA;7680
ALMAGRO;7670
DE LOS SANTOS;7669
VIÑAS;7666
NOVOA;7663
TERUEL;7644
ECHEVARRIA;7628
LUJAN;7594
DE LAS HERAS;7589
MORILLAS;7574
PUERTO;7573
ROBLEDO;7569
CHECA;7565
ACUÑA;7544
FRANCISCO;7542
NARVAEZ;7534
INIESTA;7528
ACEDO;7513
TELLEZ;7493
TRIGO;7489
GRANADO;7435
CAPARROS;7426
CORONADO;7394
ARES;7385
PUERTA;7374
DE DIEGO;7371
MONZON;7362
FRANCES;7346
PALACIO;7345
VALDIVIA;7338
HERREROS;7331
ARANA;7325
MACIA;7322
MATAS;7306
BERNABE;7301
HERMIDA;7298
SEGARRA;7287
ESPADA;7283
TORIBIO;7264
BALAGUER;7263
MARIÑO;7241
ZAMORANO;7237
TOME;7197
CERVANTES;7188
PINA;7169
BUENDIA;7168
SEPULVEDA;7161
CUELLAR;7135
ENCINAS;7135
PERAL;7133
CUBERO;7122
BARBERA;7109
MAYO;7109
MOLINERO;7090
BERNABEU;7080
CARRERO;7067
GIRON;7066
MELIAN;7062
CESPEDES;7062
LAMAS;7061
PRAT;7047
HINOJOSA;7041
COCA;7028
CAÑETE;7028
PEDRAZA;7001
PARRILLA;6953
FARIÑA;6943
TORRE;6918
RODENAS;6914
SANMARTIN;6912
UREÑA;6903
SAURA;6897
MARISCAL;6887
LLORET;6880
COSTAS;6876
CARRO;6873
BADIA;6873
ZURITA;6854
PEIRO;6851
CENTENO;6831
MAYORAL;6814
MARTORELL;6807
PIQUERAS;6797
PARADA;6790
ARELLANO;6782
ANDUJAR;6754
BOIX;6739
QUILES;6735
BENAVIDES;6724
FLOREZ;6722
NDIAYE;6712
GAMERO;6708
CAMPS;6694
FONSECA;6667
REVUELTA;6655
GABARRI;6644
QUIROGA;6643
CAÑADAS;6615
FIDALGO;6611
MONTENEGRO;6598
MERA;6596
VIERA;6591
PERERA;6587
MIR;6545
RIQUELME;6536
PICAZO;6527
LEMA;6524
DIOP;6524
SALES;6521
PLANAS;6517
GOÑI;6514
ROMO;6482
PICO;6471
GUISADO;6454
VILCHES;6442
VEGAS;6439
ALAMO;6431
NIEVES;6426
GORDO;6421
AMORES;6414
AMOR;6414
RIAL;6406
FRUTOS;6403
LORA;6391
ANTUNEZ;6385
MATOS;6381
HOYOS;6380
TORREGROSA;6380
LABRADOR;6369
SOLANA;6348
PALAU;6344
SEGUI;6343
MESTRE;6340
ABREU;6337
CARRASCOSA;6333
ZHU;6324
ADAN;6323
QUERO;6309
PIÑA;6304
SABATER;6303
CALATAYUD;6297
BOTELLA;6297
DE DIOS;6290
PALAZON;6279
CODINA;6274
JAIME;6253
NEIRA;6247
NEVADO;6240
PAREJO;6232
ARNAU;6224
NOVO;6218
HERMOSO;6210
TOLEDANO;6208
CHICO;6194
HERRAIZ;6173
OLIVEIRA;6172
CANTOS;6164
REVILLA;6159
CARRANZA;6148
POSTIGO;6110
ZHENG;6106
VACA;6102
SILVESTRE;6099
ANTOLIN;6096
QUIÑONES;6087
RIBES;6078
JIMENO;6073
DEL MORAL;6072
PELLICER;6070
CAAMAÑO;6067
FUENTE;6062
OVIEDO;6059
BELDA;6057
VICO;6056
RAMIRO;6048
VERDUGO;6035
LLANOS;6033
CORNEJO;6030
GUIRADO;6028
MEGIAS;6025
TORRALBA;6020
MANSILLA;6008
MERCADO;6002
SEMPERE;5996
GALIANO;5988
SOUSA;5987
CORDON;5983
GUARDIOLA;5944
ELVIRA;5930
GOMES;5928
FARRE;5924
CABANILLAS;5913
YAGUE;5904
SACRISTAN;5891
BARRIENTOS;5890
CHAPARRO;5887
ALEMANY;5884
CANTO;5861
BERROCAL;5840
ROSELL;5832
AROCA;5828
COMAS;5827
URIARTE;5823
OLIVERA;5807
CAÑIZARES;5790
LIMA;5783
ESPIN;5782
COLOMER;5781
FEIJOO;5762
MAZA;5759
GILABERT;5752
CAPDEVILA;5719
ARNAIZ;5713
PORTELA;5698
TRILLO;5688
ROSELLO;5674
CARPIO;5673
FIGUERAS;5667
PERELLO;5655
CERDAN;5650
GISBERT;5644
TORREJON;5640
SANS;5637
RUS;5633
SALDAÑA;5628
MAÑAS;5625
AMADO;5619
MONTEAGUDO;5617
ESPINO;5599
CRISTOBAL;5591
ALIAGA;5589
BETANCOR;5583
MURIEL;5580
TUDELA;5574
VALDERRAMA;5571
SAN JUAN;5553
BARRETO;5534
CAMPOY;5528
TEJERA;5522
AMAT;5520
GARRIGA;5516
MARMOL;5504
ESCALANTE;5494
RIO;5486
SECO;5485
PLASENCIA;5475
BASTIDA;5465
MELGAR;5456
MESEGUER;5452
VILLALOBOS;5447
HOLGADO;5447
BARBOSA;5445
MORILLA;5445
YANG;5430
ANAYA;5419
GAVILAN;5416
REIG;5412
DAZA;5405
JULIAN;5385
CARDOSO;5382
CHICA;5375
CAMINO;5371
BARAHONA;5370
VALCARCEL;5353
FERRERA;5345
SAN MIGUEL;5340
SAMPER;5319
ZUÑIGA;5301
FERRERAS;5291
MORERA;5290
NOGUEIRA;5288
ELIAS;5281
RUZ;5280
GUIRAO;5278
GASPAR;5276
GALLO;5274
DE HARO;5268
PARIS;5268
BENAVENTE;5252
FLORIDO;5239
BUITRAGO;5236
LILLO;5234
URRUTIA;5229
GONZALES;5228
JULIA;5224
CASTELLS;5218
ARRIETA;5210
GABARRE;5209
DORTA;5205
COELLO;5199
MONTALVO;5178
SANABRIA;5164
SALAMANCA;5163
MORATO;5160
HUSSAIN;5154
MARTINS;5144
CASARES;5132
LORCA;5131
BRIONES;5125
MERIDA;5124
PEREDA;5115
MENESES;5112
GOMIS;5098
VALLADARES;5091
CASALS;5084
UGARTE;5080
CALZADA;5072
GARAY;5067
QUINTANILLA;5061
CUETO;5058
RECHE;5054
HIGUERAS;5041
PAJARES;5036
HUANG;5026
JOVER;5017
DENIZ;5011
DE LA IGLESIA;5009
LARREA;5001
CANDELA;4998
AGULLO;4992
CONEJO;4989
TUR;4986
FERNANDES;4986
DE LA PEÑA;4984
CABRERO;4976
VERDEJO;4974
JORDA;4964
MATIAS;4962
ROPERO;4947
CASERO;4935
ASENJO;4933
VARA;4926
ALBALADEJO;4912
MARTEL;4907
BERNARDO;4906
MATO;4897
ESPARZA;4895
DE JESUS;4891
DEL AMO;4883
TRIVIÑO;4881
PUEYO;4879
BENAVENT;4879
GARMENDIA;4877
CORBACHO;4873
CERRO;4854
BARRIGA;4853
PUGA;4851
MADRIGAL;4846
ARAGONES;4838
LLORCA;4837
HENRIQUEZ;4826
DE LA VEGA;4823
TORRADO;4821
MAESTRO;4820
BAYON;4815
ESPINAR;4813
ROA;4793
IRIARTE;4787
FERRANDEZ;4784
VADILLO;4778
SIMO;4774
CADENAS;4769
PALOMAR;4767
CISNEROS;4766
PAGES;4764
RIUS;4763
PINTADO;4746
TORMO;4744
DONOSO;4742
SALIDO;4741
MILAN;4740
DE ANDRES;4739
BLAS;4736
MONJE;4733
CLAVIJO;4731
AYLLON;4731
PITA;4727
SMITH;4719
MONTALBAN;4717
ANGEL;4713
GUARDIA;4707
MANCEBO;4700
DONAIRE;4695
HIERRO;4693
URIBE;4689
DE PABLO;4682
KHAN;4682
JIANG;4681
ESCALONA;4679
CASANOVAS;4670
BOU;4668
